AIRPORT NAME,CODE,AIRPORT NAME 2,CODE 2,KM
Abu Dhabi,AUH,Adelaide,ADL,11018
Abu Dhabi,AUH,Brisbane,BNE,12018
Abu Dhabi,AUH,Melbourne,MEL,11657
Abu Dhabi,AUH,Perth,PER,9035
Abu Dhabi,AUH,Sydney,SYD,12068
Abu Dhabi,AUH,Townsville,TSV,11091
Adelaide,ADL,Albury,ABX,774
Adelaide,ADL,Alice Springs,ASP,1316
Adelaide,ADL,Amata,AMT,1207
Adelaide,ADL,American River,AMR,116
Adelaide,ADL,Amsterdam,AMS,15927
Adelaide,ADL,Andamooka,ADO,518
Adelaide,ADL,Apia,APW,5472
Adelaide,ADL,Athens,ATH,14302
Adelaide,ADL,Atlanta,ATL,16110
Adelaide,ADL,Auckland,AKL,3258
Adelaide,ADL,Avalon,AVL,633
Adelaide,ADL,Ayers Rock,AYQ,1306
Adelaide,ADL,Bahrain,BAH,11468
Adelaide,ADL,Balcanoona,BLC,498
Adelaide,ADL,Bangkok,BKK,6743
Adelaide,ADL,Bathurst Island,BRT,2696
Adelaide,ADL,Beijing,PEK,8629
Adelaide,ADL,Belgrade,BEG,14769
Adelaide,ADL,Billa Kalina,BKL,599
Adelaide,ADL,Birdsville,BVI,1009
Adelaide,ADL,Bombay,BOM,9165
Adelaide,ADL,Bond Springs,BSP,1349
Adelaide,ADL,Bourke,BRK,885
Adelaide,ADL,Brisbane,BNE,1622
Adelaide,ADL,Broken Hill,BHQ,426
Adelaide,ADL,Broome,BME,2484
Adelaide,ADL,Buenos Aires,BUE,12091
Adelaide,ADL,Burnie,WNY,923
Adelaide,ADL,Cairns,CNS,2131
Adelaide,ADL,Camp B,XCA,710
Adelaide,ADL,Canberra,CBR,972
Adelaide,ADL,Ceduna,CED,546
Adelaide,ADL,Charleville,CTL,1203
Adelaide,ADL,Chicago,ORD,15961
Adelaide,ADL,Christchurch,CHC,3062
Adelaide,ADL,Cleve,CVC,232
Adelaide,ADL,Coober Pedy,CPD,748
Adelaide,ADL,Cooma,OOM,958
Adelaide,ADL,Coorabie,CRB,671
Adelaide,ADL,Copenhagen,CPH,15364
Adelaide,ADL,Cowell,CCW,207
Adelaide,ADL,Cummins,CUM,305
Adelaide,ADL,Cunnamulla,CMA,1021
Adelaide,ADL,Darwin,DRW,2619
Adelaide,ADL,Deniliquin,DNQ,588
Adelaide,ADL,Denpasar,DPS,3759
Adelaide,ADL,Derby/Curtin,DRB,2418
Adelaide,ADL,Devonport,DPO,979
Adelaide,ADL,Dicks Plains,XDP,764
Adelaide,ADL,Dubai,DXB,11010
Adelaide,ADL,Dubbo,DBO,980
Adelaide,ADL,Edinburgh,EDN,28
Adelaide,ADL,Ernabella,ERN,1141
Adelaide,ADL,Essendon,MEB,650
Adelaide,ADL,Eucla,EUC,967
Adelaide,ADL,Finke,FIK,1106
Adelaide,ADL,Forrest,FOS,1075
Adelaide,ADL,Frankfurt,FRA,15691
Adelaide,ADL,Fregon,FRG,1100
Adelaide,ADL,Fukuoka,FUK,7655
Adelaide,ADL,Gold Coast,OOL,1607
Adelaide,ADL,Gove,GOV,2524
Adelaide,ADL,Griffith,GFF,696
Adelaide,ADL,Hamilton,HLT,437
Adelaide,ADL,Hamilton Island,HTI,1917
Adelaide,ADL,Harare,SAY,10392
Adelaide,ADL,Hawker,HAW,344
Adelaide,ADL,Ho Chi Minh City,SGN,6091
Adelaide,ADL,Hobart,HBA,1172
Adelaide,ADL,Hong Kong,HKG,6857
Adelaide,ADL,Honiara,HIR,3582
Adelaide,ADL,Honolulu,HNL,9165
Adelaide,ADL,Horsham,HSM,381
Adelaide,ADL,Indulkana,IDK,1016
Adelaide,ADL,Jabiru,JAB,2540
Adelaide,ADL,Jackson,JAK,892
Adelaide,ADL,Jakarta,JKT,4546
Adelaide,ADL,Johannesburg,JNB,10047
Adelaide,ADL,Kalgoorlie,KGI,1660
Adelaide,ADL,Karratha,KTA,2653
