Route,Departing_Port,Arriving_Port,Airline,Month,Sectors_Scheduled,Sectors_Flown,Cancellations,Departures_On_Time,Arrivals_On_Time,Departures_Delayed,Arrivals_Delayed,Year,Month_Num
Adelaide-Alice Springs,Adelaide,Alice Springs,All Airlines,Jan-10,44,44,0,42,42,2,2,2010,1
Adelaide-Brisbane,Adelaide,Brisbane,All Airlines,Jan-10,217,217,0,198,201,19,16,2010,1
Adelaide-Canberra,Adelaide,Canberra,All Airlines,Jan-10,69,69,0,61,63,8,6,2010,1
Adelaide-Gold Coast,Adelaide,Gold Coast,All Airlines,Jan-10,92,92,0,82,82,10,10,2010,1
Adelaide-Melbourne,Adelaide,Melbourne,All Airlines,Jan-10,651,644,7,583,587,61,57,2010,1
Adelaide-Perth,Adelaide,Perth,All Airlines,Jan-10,212,211,1,190,196,21,15,2010,1
Adelaide-Sydney,Adelaide,Sydney,All Airlines,Jan-10,556,552,4,499,488,53,64,2010,1
Albury-Sydney,Albury,Sydney,All Airlines,Jan-10,229,229,0,196,184,33,45,2010,1
Alice Springs-Adelaide,Alice Springs,Adelaide,All Airlines,Jan-10,44,44,0,41,41,3,3,2010,1
Alice Springs-Melbourne,Alice Springs,Melbourne,All Airlines,Jan-10,44,44,0,41,42,3,2,2010,1
Ballina-Sydney,Ballina,Sydney,All Airlines,Jan-10,163,163,0,132,114,31,49,2010,1
Brisbane-Adelaide,Brisbane,Adelaide,All Airlines,Jan-10,216,216,0,198,201,18,15,2010,1
Brisbane-Cairns,Brisbane,Cairns,All Airlines,Jan-10,341,341,0,312,317,29,24,2010,1
Brisbane-Canberra,Brisbane,Canberra,All Airlines,Jan-10,268,268,0,250,250,18,18,2010,1
Brisbane-Darwin,Brisbane,Darwin,All Airlines,Jan-10,62,62,0,48,52,14,10,2010,1
Brisbane-Hamilton Island,Brisbane,Hamilton Island,All Airlines,Jan-10,61,61,0,54,54,7,7,2010,1
Brisbane-Mackay,Brisbane,Mackay,All Airlines,Jan-10,311,307,4,280,284,27,23,2010,1
Brisbane-Melbourne,Brisbane,Melbourne,All Airlines,Jan-10,761,757,4,676,686,81,71,2010,1
Brisbane-Newcastle,Brisbane,Newcastle,All Airlines,Jan-10,211,210,1,189,179,21,31,2010,1
Brisbane-Perth,Brisbane,Perth,All Airlines,Jan-10,186,186,0,164,175,22,11,2010,1
Brisbane-Proserpine,Brisbane,Proserpine,All Airlines,Jan-10,61,61,0,53,52,8,9,2010,1
Brisbane-Rockhampton,Brisbane,Rockhampton,All Airlines,Jan-10,295,295,0,269,267,26,28,2010,1
Brisbane-Sydney,Brisbane,Sydney,All Airlines,Jan-10,1225,1198,27,1054,1029,144,169,2010,1
Brisbane-Townsville,Brisbane,Townsville,All Airlines,Jan-10,321,321,0,294,307,27,14,2010,1
Broome-Perth,Broome,Perth,All Airlines,Jan-10,140,138,2,122,125,16,13,2010,1
Cairns-Brisbane,Cairns,Brisbane,All Airlines,Jan-10,341,340,1,323,323,17,17,2010,1
Cairns-Melbourne,Cairns,Melbourne,All Airlines,Jan-10,92,92,0,80,82,12,10,2010,1
Cairns-Sydney,Cairns,Sydney,All Airlines,Jan-10,210,210,0,191,194,19,16,2010,1
Cairns-Townsville,Cairns,Townsville,All Airlines,Jan-10,150,150,0,130,118,20,32,2010,1
Canberra-Adelaide,Canberra,Adelaide,All Airlines,Jan-10,74,74,0,69,69,5,5,2010,1
Canberra-Brisbane,Canberra,Brisbane,All Airlines,Jan-10,268,266,2,253,254,13,12,2010,1
Canberra-Melbourne,Canberra,Melbourne,All Airlines,Jan-10,449,443,6,408,402,35,41,2010,1
Canberra-Sydney,Canberra,Sydney,All Airlines,Jan-10,608,598,10,546,543,52,55,2010,1
Coffs Harbour-Sydney,Coffs Harbour,Sydney,All Airlines,Jan-10,184,184,0,151,146,33,38,2010,1
Darwin-Brisbane,Darwin,Brisbane,All Airlines,Jan-10,62,61,1,54,52,7,9,2010,1
Darwin-Melbourne,Darwin,Melbourne,All Airlines,Jan-10,33,33,0,26,24,7,9,2010,1
Darwin-Perth,Darwin,Perth,All Airlines,Jan-10,62,62,0,60,61,2,1,2010,1
Dubbo-Sydney,Dubbo,Sydney,All Airlines,Jan-10,169,169,0,139,135,30,34,2010,1
Gold Coast-Adelaide,Gold Coast,Adelaide,All Airlines,Jan-10,92,92,0,80,81,12,11,2010,1
Gold Coast-Melbourne,Gold Coast,Melbourne,All Airlines,Jan-10,455,451,4,399,399,52,52,2010,1
Gold Coast-Newcastle,Gold Coast,Newcastle,All Airlines,Jan-10,44,44,0,41,41,3,3,2010,1
Gold Coast-Sydney,Gold Coast,Sydney,All Airlines,Jan-10,693,673,20,617,594,56,79,2010,1
Hamilton Island-Brisbane,Hamilton Island,Brisbane,All Airlines,Jan-10,61,61,0,55,55,6,6,2010,1
Hamilton Island-Sydney,Hamilton Island,Sydney,All Airlines,Jan-10,61,61,0,54,55,7,6,2010,1
Hobart-Melbourne,Hobart,Melbourne,All Airlines,Jan-10,351,351,0,290,296,61,55,2010,1
Hobart-Sydney,Hobart,Sydney,All Airlines,Jan-10,156,156,0,131,139,25,17,2010,1
Kalgoorlie-Perth,Kalgoorlie,Perth,All Airlines,Jan-10,108,103,5,94,93,9,10,2010,1
Karratha-Perth,Karratha,Perth,All Airlines,Jan-10,264,262,2,250,251,12,11,2010,1
Launceston-Melbourne,Launceston,Melbourne,All Airlines,Jan-10,322,322,0,259,222,63,100,2010,1
Launceston-Sydney,Launceston,Sydney,All Airlines,Jan-10,61,61,0,53,55,8,6,2010,1
Mackay-Brisbane,Mackay,Brisbane,All Airlines,Jan-10,310,307,3,277,279,30,28,2010,1
Melbourne-Adelaide,Melbourne,Adelaide,All Airlines,Jan-10,649,641,8,582,591,59,50,2010,1
Melbourne-Alice Springs,Melbourne,Alice Springs,All Airlines,Jan-10,44,44,0,38,39,6,5,2010,1
Melbourne-Brisbane,Melbourne,Brisbane,All Airlines,Jan-10,761,755,6,670,686,85,69,2010,1
Melbourne-Cairns,Melbourne,Cairns,All Airlines,Jan-10,90,90,0,84,83,6,7,2010,1
Melbourne-Canberra,Melbourne,Canberra,All Airlines,Jan-10,445,440,5,399,398,41,42,2010,1
Melbourne-Darwin,Melbourne,Darwin,All Airlines,Jan-10,36,36,0,26,26,10,10,2010,1
Melbourne-Gold Coast,Melbourne,Gold Coast,All Airlines,Jan-10,458,452,6,396,405,56,47,2010,1
Melbourne-Hobart,Melbourne,Hobart,All Airlines,Jan-10,352,351,1,292,290,59,61,2010,1
Melbourne-Launceston,Melbourne,Launceston,All Airlines,Jan-10,322,322,0,262,252,60,70,2010,1
Melbourne-Mildura,Melbourne,Mildura,All Airlines,Jan-10,186,186,0,163,149,23,37,2010,1
Melbourne-Newcastle,Melbourne,Newcastle,All Airlines,Jan-10,93,93,0,82,86,11,7,2010,1
Melbourne-Perth,Melbourne,Perth,All Airlines,Jan-10,429,427,2,366,385,61,42,2010,1
Melbourne-Sunshine Coast,Melbourne,Sunshine Coast,All Airlines,Jan-10,118,118,0,93,100,25,18,2010,1
Melbourne-Sydney,Melbourne,Sydney,All Airlines,Jan-10,1858,1824,34,1584,1580,240,244,2010,1
Mildura-Melbourne,Mildura,Melbourne,All Airlines,Jan-10,185,185,0,164,167,21,18,2010,1
Newcastle-Brisbane,Newcastle,Brisbane,All Airlines,Jan-10,210,209,1,177,184,32,25,2010,1
Newcastle-Gold Coast,Newcastle,Gold Coast,All Airlines,Jan-10,44,44,0,40,41,4,3,2010,1
Newcastle-Melbourne,Newcastle,Melbourne,All Airlines,Jan-10,90,90,0,83,86,7,4,2010,1
Newman-Perth,Newman,Perth,All Airlines,Jan-10,121,119,2,115,115,4,4,2010,1
Perth-Adelaide,Perth,Adelaide,All Airlines,Jan-10,214,213,1,195,192,18,21,2010,1
Perth-Brisbane,Perth,Brisbane,All Airlines,Jan-10,186,186,0,173,169,13,17,2010,1
Perth-Broome,Perth,Broome,All Airlines,Jan-10,137,136,1,127,127,9,9,2010,1
Perth-Darwin,Perth,Darwin,All Airlines,Jan-10,62,62,0,59,60,3,2,2010,1
Perth-Kalgoorlie,Perth,Kalgoorlie,All Airlines,Jan-10,108,103,5,95,95,8,8,2010,1
Perth-Karratha,Perth,Karratha,All Airlines,Jan-10,264,263,1,247,252,16,11,2010,1
Perth-Melbourne,Perth,Melbourne,All Airlines,Jan-10,427,423,4,369,367,54,56,2010,1
Perth-Newman,Perth,Newman,All Airlines,Jan-10,120,118,2,113,111,5,7,2010,1
Perth-Port Hedland,Perth,Port Hedland,All Airlines,Jan-10,155,154,1,147,148,7,6,2010,1
Perth-Sydney,Perth,Sydney,All Airlines,Jan-10,388,387,1,344,340,43,47,2010,1
Port Hedland-Perth,Port Hedland,Perth,All Airlines,Jan-10,153,153,0,145,145,8,8,2010,1
Port Macquarie-Sydney,Port Macquarie,Sydney,All Airlines,Jan-10,157,156,1,136,131,20,25,2010,1
Proserpine-Brisbane,Proserpine,Brisbane,All Airlines,Jan-10,61,61,0,54,54,7,7,2010,1
Rockhampton-Brisbane,Rockhampton,Brisbane,All Airlines,Jan-10,274,273,1,245,248,28,25,2010,1
Sunshine Coast-Melbourne,Sunshine Coast,Melbourne,All Airlines,Jan-10,119,119,0,96,103,23,16,2010,1
Sunshine Coast-Sydney,Sunshine Coast,Sydney,All Airlines,Jan-10,131,130,1,111,111,19,19,2010,1
Sydney-Adelaide,Sydney,Adelaide,All Airlines,Jan-10,551,549,2,501,505,48,44,2010,1
Sydney-Albury,Sydney,Albury,All Airlines,Jan-10,230,230,0,203,197,27,33,2010,1
Sydney-Ballina,Sydney,Ballina,All Airlines,Jan-10,163,163,0,145,139,18,24,2010,1
Sydney-Brisbane,Sydney,Brisbane,All Airlines,Jan-10,1225,1201,24,1012,1079,189,122,2010,1
Sydney-Cairns,Sydney,Cairns,All Airlines,Jan-10,209,209,0,183,191,26,18,2010,1
Sydney-Canberra,Sydney,Canberra,All Airlines,Jan-10,620,610,10,533,527,77,83,2010,1
Sydney-Coffs Harbour,Sydney,Coffs Harbour,All Airlines,Jan-10,185,185,0,158,155,27,30,2010,1
Sydney-Dubbo,Sydney,Dubbo,All Airlines,Jan-10,170,170,0,152,150,18,20,2010,1
Sydney-Gold Coast,Sydney,Gold Coast,All Airlines,Jan-10,696,676,20,590,624,86,52,2010,1
Sydney-Hamilton Island,Sydney,Hamilton Island,All Airlines,Jan-10,59,59,0,57,59,2,0,2010,1
Sydney-Hobart,Sydney,Hobart,All Airlines,Jan-10,156,156,0,139,140,17,16,2010,1
Sydney-Launceston,Sydney,Launceston,All Airlines,Jan-10,61,61,0,53,54,8,7,2010,1
Sydney-Melbourne,Sydney,Melbourne,All Airlines,Jan-10,1849,1820,29,1608,1563,212,257,2010,1
Sydney-Perth,Sydney,Perth,All Airlines,Jan-10,388,387,1,325,335,62,52,2010,1
Sydney-Port Macquarie,Sydney,Port Macquarie,All Airlines,Jan-10,159,158,1,135,136,23,22,2010,1
Sydney-Sunshine Coast,Sydney,Sunshine Coast,All Airlines,Jan-10,129,129,0,109,116,20,13,2010,1
Sydney-Townsville,Sydney,Townsville,All Airlines,Jan-10,51,51,0,42,44,9,7,2010,1
Sydney-Wagga Wagga,Sydney,Wagga Wagga,All Airlines,Jan-10,187,187,0,170,157,17,30,2010,1
Townsville-Brisbane,Townsville,Brisbane,All Airlines,Jan-10,323,321,2,298,300,23,21,2010,1
Townsville-Cairns,Townsville,Cairns,All Airlines,Jan-10,147,147,0,129,123,18,24,2010,1
