,Year,Flights Flown,Month,Price,KM
0,2017,42,4,679.9114724,1316
1,2018,49,4,605.4079646,1316
2,2019,54,4,621.5069686,1316
3,2021,43,4,422.7617845,1316
4,2022,53,4,463.7446471,1316
5,2023,61,4,632.0089753,1316
6,2017,45,8,557.5906643,1316
7,2018,54,8,562.7061498,1316
8,2019,53,8,555.2357019,1316
9,2020,44,8,563.4526678,1316
10,2021,50,8,488.5396825,1316
11,2022,58,8,814.9937695,1316
12,2023,65,8,657.6230599,1316
13,2017,51,12,604.0285459,1316
14,2018,53,12,832.5337423,1316
15,2019,52,12,611.6110155,1316
16,2020,40,12,570.5819113,1316
17,2021,31,12,459.0288541,1316
18,2022,59,12,673.8302752,1316
19,2023,55,12,722.6282145,1316
20,2018,47,2,569.0426288,1316
21,2019,47,2,635.1288344,1316
22,2020,49,2,561.5197256,1316
23,2021,40,2,503.1178965,1316
24,2022,31,2,449.3962873,1316
25,2023,48,2,664.6832579,1316
26,2018,54,1,750.4404973,1316
27,2019,54,1,561.5617879,1316
28,2020,47,1,549.5214408,1316
29,2021,44,1,638.3901612,1316
30,2022,35,1,449.3962873,1316
31,2023,47,1,685.7843137,1316
32,2024,57,1,673.5171158,1316
33,2017,44,7,590.2423698,1316
34,2018,52,7,616.2995595,1316
35,2019,55,7,707.9861352,1316
36,2020,20,7,455.0963855,1316
37,2021,51,7,419.5831245,1316
38,2022,44,7,947.9205607,1316
39,2023,68,7,627.6371027,1316
40,2017,43,6,593.9747064,1316
41,2018,50,6,762.640708,1316
42,2019,50,6,658.0662021,1316
43,2021,66,6,706.5656566,1316
44,2022,39,6,665.6621729,1316
45,2023,66,6,604.8032909,1316
46,2018,52,3,801.3809947,1316
47,2019,52,3,625.3198948,1316
48,2020,49,3,622.7109777,1316
49,2021,48,3,567.1823664,1316
50,2022,42,3,494.5617433,1316
51,2023,59,3,704.775264,1316
52,2017,45,5,553.5338753,1316
53,2018,54,5,567.0283186,1316
54,2019,54,5,864.0165505,1316
55,2021,49,5,492.2407407,1316
56,2022,58,5,657.8961142,1316
57,2023,68,5,632.0089753,1316
58,2017,52,11,628.9884032,1316
59,2018,51,11,561.5617879,1316
60,2019,51,11,611.6230551,1316
61,2020,40,11,558.6450512,1316
62,2021,37,11,470.5622424,1316
63,2022,55,11,749.7698777,1316
64,2023,56,11,722.6282145,1316
65,2017,54,10,753.7876896,1316
66,2018,54,10,561.5617879,1316
67,2019,54,10,683.848537,1316
68,2020,44,10,558.6450512,1316
69,2021,44,10,299.8680956,1316
